expanded_indian_laws
Act Name,Description,Category,Coverage,Authority,Official PDF Link
"Indian Penal Code, 1860",Criminal law defining offences and punishments,Criminal Law,1860–2023,Legislative Dept,https://www.indiacode.nic.in/repealedfileopen?rfilename=A1860-45.pdf
"Bharatiya Nyaya Sanhita, 2023",Replaces IPC,Criminal Law,2023–Present,MHA,https://www.mha.gov.in/sites/default/files/250883_english_01042024.pdf
"Criminal Procedure Code, 1973",Procedure for criminal cases,Procedure Law,1973–2023,Legislative Dept,"https://www.indiacode.nic.in/bitstream/123456789/15272/1/the_code_of_criminal_procedure,_1973.pdf"
"Bharatiya Nagarik Suraksha Sanhita, 2023",Replaces CrPC,Procedure Law,2023–Present,MHA,https://www.mha.gov.in/sites/default/files/2024-04/250884_2_english_01042024.pdf
"Indian Evidence Act, 1872",Rules of evidence,Evidence Law,1872–2023,Legislative Dept,https://bor.up.nic.in/book_detail/The%20Indian%20EvidenceAct%201872/1872.pdf
"Bharatiya Sakshya Adhiniyam, 2023",Replaces Evidence Act,Evidence Law,2023–Present,MHA,https://www.mha.gov.in/sites/default/files/2024-04/250882_english_01042024_0.pdf
"Information Technology Act, 2000",Cyber law in India,Technology Law,2000–Present,MeitY,https://www.indiacode.nic.in/bitstream/123456789/13116/1/it_act_2000_updated.pdf
"Right to Information Act, 2005",Transparency law,Administrative Law,2005–Present,Govt of India,https://www.indiacode.nic.in/bitstream/123456789/2065/1/aa2005.pdf
"Consumer Protection Act, 2019",Consumer rights protection,Consumer Law,2019–Present,Govt of India,https://ncdrc.nic.in/bare_acts/CPA2019.pdf
"Companies Act, 2013",Corporate law,Corporate Law,2013–Present,MCA,https://www.indiacode.nic.in/bitstream/123456789/2114/5/A2013-18.pdf
"Environment Protection Act, 1986",Environmental protection,Environmental Law,1986–Present,Govt of India,https://www.indiacode.nic.in/bitstream/123456789/4316/1/ep_act_1986.pdf
"Motor Vehicles Act, 1988",Transport regulations,Transport Law,1988–Present,Govt of India,https://www.indiacode.nic.in/bitstream/123456789/9460/1/a1988-59.pdf
Constitution of India,Supreme law with all amendments,Constitution,1950–Present,Legislative Dept,https://cdnbbsr.s3waas.gov.in/s380537a945c7aaa788ccfcdf1b99b5d8f/uploads/2024/07/20240716890312078.pdf
